timestamp,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,speed_kmh
2025-04-13 06:23:23,,,0.0,,1.383,130,,,,384194171,1416197315,,,,1.383,31,4.978800000000001
2025-04-13 06:23:24,,,0.0,,0.0,129,,,,384193985,1416197286,,,,0.0,31,0.0
2025-04-13 06:23:25,,,1.36,,1.127,129,,,,384193846,1416197340,,,,1.127,31,4.0572
2025-04-13 06:23:36,,,5.12,,2.787,118,,,,384194469,1416196466,,,,2.787,31,10.0332
2025-04-13 06:23:37,,,9.38,,3.814,118,,,,384194912,1416196325,,,,3.814,31,13.730400000000001
2025-04-13 06:23:38,,,14.23,,4.349,118,,,,384195416,1416196170,,,,4.349,31,15.656400000000001
2025-04-13 06:23:39,,,19.66,,4.907,118,,,,384195982,1416195997,,,,4.907,31,17.665200000000002
2025-04-13 06:23:40,,,25.2,,4.634,117,,,,384196561,1416195834,,,,4.634,31,16.6824
2025-04-13 06:23:41,,,30.83,,5.004,117,,,,384197154,1416195689,,,,5.004,31,18.0144
2025-04-13 06:23:42,,,36.76,,5.418,117,,,,384197781,1416195558,,,,5.418,31,19.5048
2025-04-13 06:23:43,,,43.05,,5.858,117,,,,384198450,1416195441,,,,5.858,31,21.0888
2025-04-13 06:23:44,,,49.67,,6.03,117,,,,384199155,1416195331,,,,6.03,31,21.708000000000002
2025-04-13 06:23:45,,,56.53,,6.312,117,,,,384199887,1416195219,,,,6.312,31,22.723200000000002
2025-04-13 06:23:47,,,70.44,,6.494,117,,,,384201364,1416194947,,,,6.494,31,23.3784
2025-04-13 06:23:48,,,77.66,,6.813,117,,,,384202129,1416194791,,,,6.813,31,24.526799999999998
2025-04-13 06:23:50,,,92.37,,6.986,117,,,,384203683,1416194454,,,,6.986,31,25.1496
2025-04-13 06:23:57,,,143.52,,7.086,120,,,,384209120,1416193500,,,,7.086,31,25.509600000000002
2025-04-13 06:24:03,,,187.56,,7.167,122,,,,384213812,1416192794,,,,7.167,31,25.8012
2025-04-13 06:24:04,,,194.86,,7.303,122,,,,384214590,1416192671,,,,7.303,31,26.2908
2025-04-13 06:24:09,,,232.26,,7.402,123,,,,384218569,1416191996,,,,7.402,30,26.6472
2025-04-13 06:24:10,,,239.85,,7.43,123,,,,384219378,1416191868,,,,7.43,30,26.748
2025-04-13 06:24:11,26.600000000000023,,247.36,26.600000000000023,7.349,124,,,,384220179,1416191752,,,,7.349,30,26.456400000000002
2025-04-13 06:24:19,27.0,,303.67,27.0,6.487,121,,,,384226176,1416190789,,,,6.487,30,23.3532
2025-04-13 06:24:23,27.0,,325.99,27.0,5.386,117,,,,384228491,1416190108,,,,5.386,30,19.3896
2025-04-13 06:24:25,27.0,,336.95,27.0,6.237,117,,,,384229181,1416189002,,,,6.237,30,22.453200000000002
2025-04-13 06:24:27,26.799999999999955,,350.42,26.799999999999955,6.877,116,,,,384229375,1416187313,,,,6.877,30,24.7572
2025-04-13 06:24:29,26.399999999999977,,366.11,26.399999999999977,7.632,118,,,,384229311,1416185322,,,,7.632,30,27.4752
2025-04-13 06:24:30,26.200000000000045,,374.44,26.200000000000045,7.843,121,,,,384229273,1416184265,,,,7.843,30,28.2348
2025-04-13 06:24:32,25.600000000000023,,391.1,25.600000000000023,7.872,123,,,,384229273,1416182148,,,,7.872,30,28.3392
2025-04-13 06:24:36,24.399999999999977,,420.44,24.399999999999977,3.866,124,,,,384229421,1416178432,,,,3.866,30,13.9176
2025-04-13 06:24:38,23.799999999999955,,428.29,23.799999999999955,4.113,123,,,,384229915,1416177666,,,,4.113,30,14.806800000000003
2025-04-13 06:24:41,23.799999999999955,,443.49,23.799999999999955,6.042,117,,,,384231523,1416177863,,,,6.042,30,21.7512
2025-04-13 06:24:45,23.399999999999977,,473.11,23.399999999999977,7.512,118,,,,384234669,1416178382,,,,7.512,30,27.0432
